Actiune,Data
Adaugat copil,Sun Apr 25 19:19:36 EEST 2021
Afisarea vizitatorilor ordonati dupa varsta,Sun Apr 25 19:19:56 EEST 2021
Adaugat student,Sun Apr 25 19:20:24 EEST 2021
Afisarea vizitatorilor ordonati dupa varsta,Sun Apr 25 19:20:33 EEST 2021
Afisarea numarului total de animale,Sun Apr 25 19:20:43 EEST 2021
Afisarea numarului de animale carnivore,Sun Apr 25 19:20:45 EEST 2021
Afisarea numarului de animale erbivore.,Sun Apr 25 19:20:46 EEST 2021
Adaugat adult,Sun Apr 25 19:21:10 EEST 2021
